Date,EEM,EFA,EWC,IEV,EPP,IWB
200610,0.070577585,0.037490775,0.0475,0.038927425,0.075350226,0.032530454
200611,0.059846583,0.030729834,0.025059666,0.035874439,0.047943173,0.020512133
200612,0.039800546,0.010628019,-0.017462165,0.00981241,0.001679596,0.009458749
200701,0.001137776,0.01393062,0.000789889,0.011431838,0.015728189,0.018740239
200702,-0.039808399,-0.00080819,0.005919495,-0.012903833,0.006289605,-0.016734798
200703,0.061503473,0.028039903,0.025892507,0.033778626,0.049526599,0.005846434
200704,0.037254109,0.0380278,0.054302103,0.06055012,0.039003378,0.042495479
200705,0.049322244,0.023623042,0.091766413,0.02175805,0.030876854,0.035931111
200706,0.038247604,-0.003208688,-0.007973422,-0.004003407,0.0180667,-0.023442172
200707,0.006988991,-0.022904544,0.001004689,-0.025827418,-0.003411606,-0.031230863
200708,0.010409595,-0.00633553,0.00033456,-0.004828373,0.001027397,0.011630847
200709,0.115715566,0.05317521,0.094648829,0.05151729,0.137870586,0.036490877
200710,0.118701158,0.042499092,0.102352582,0.045302013,0.093386105,0.016035688
200711,-0.076499193,-0.036236934,-0.115576497,-0.033306581,-0.078864874,-0.040939836
200712,-0.026555035,-0.053988913,0.006581009,-0.050726443,-0.078869783,-0.015095273
200801,-0.089221557,-0.078471338,-0.057285181,-0.087983208,-0.078752866,-0.058668342
200802,0.01994302,-0.01022809,0.057133421,-0.004698888,-0.0256814,-0.028426531
200803,-0.037531156,0.004188542,-0.053108404,0.011754504,-0.020942374,-0.011263736
200804,0.091384203,0.054381085,0.070933685,0.044281497,0.07759336,0.04959711
200805,0.031636416,0.011871785,0.078558226,0.004103593,0.028609856,0.017207148
200806,-0.102973631,-0.104810325,-0.052842045,-0.117064753,-0.094423805,-0.083148992
200807,-0.055039788,-0.033202272,-0.054583836,-0.025714873,-0.046586117,-0.014050525
200808,-0.063157895,-0.042476277,-0.030940989,-0.039695946,-0.049479769,0.013818915
200809,-0.146816479,-0.11436212,-0.132982225,-0.1235708,-0.126733155,-0.09754366
200810,-0.255779924,-0.208348135,-0.271829916,-0.212493728,-0.265181058,-0.171334172
200811,-0.097522611,-0.063719991,-0.107924922,-0.06721886,-0.06899166,-0.083728878
200812,0.088017429,0.075005991,0.018702513,0.06352459,0.072882736,0.012639867
200901,-0.092911494,-0.137316095,-0.041881813,-0.147398844,-0.15028463,-0.079394311
200902,-0.062693157,-0.103875969,-0.096407186,-0.106591337,-0.047789192,-0.104467659
200903,0.168629298,0.083910035,0.090788602,0.07841484,0.155253283,0.073467362
200904,0.155582426,0.11519021,0.138517618,0.127443315,0.127486805,0.105433526
200905,0.15940007,0.131917939,0.232657417,0.133841886,0.154843356,0.058774315
200906,-0.030385078,-0.034562698,-0.072727273,-0.040366972,-0.012472716,0.000790202
200907,0.110145827,0.100414757,0.129785247,0.10930529,0.126934007,0.068890644
200908,-0.01313583,0.045030748,-0.017355372,0.054007469,0.035304007,0.036934441
200909,0.101954121,0.037965072,0.071488646,0.050422458,0.096887686,0.034728406
200910,-0.034438448,-0.025237747,-0.063971743,-0.02283342,-0.023192697,-0.022203098
200911,0.078520096,0.039212008,0.086373166,0.044344132,0.057085123,0.059848618
200912,0.024185587,-0.001985918,0.016209958,-0.009407577,-0.011469534,0.01826939
201001,-0.077590361,-0.05065123,-0.071781238,-0.065965092,-0.077109016,-0.036209427
201002,0.017763845,0.002667683,0.0601473,-0.010167628,0.050026192,0.032662041
201003,0.081172998,0.063854048,0.077190274,0.064408662,0.071588925,0.05899705
201004,-0.00172117,-0.028045731,0.011465425,-0.039384455,-0.016527002,0.0182606
201005,-0.093935791,-0.111927954,-0.072972016,-0.113765952,-0.124023669,-0.079635258
201006,-0.020472441,-0.037458609,-0.049675201,-0.039522059,-0.03431505,-0.056472919
201007,0.109324759,0.116104064,0.071974266,0.138118022,0.119753777,0.064578229
201008,-0.03236715,-0.037950299,-0.021005251,-0.047365471,-0.016741629,-0.044385994
201009,0.11757364,0.099719664,0.07394636,0.113562813,0.125794155,0.086358163
201010,0.030154121,0.038055353,0.031840885,0.04676354,0.028893905,0.038638163
201011,-0.02905464,-0.048237151,0.014089377,-0.08177688,-0.023913997,0.001982009
201012,0.063912461,0.072981939,0.056938288,0.079714129,0.055967633,0.062994522
201101,-0.038453465,0.020954998,0.009354839,0.04404277,-0.014048531,0.023189236
201102,-0.000436586,0.035497981,0.07606264,0.030724214,0.019645941,0.035254617
201103,0.062895829,-0.023883022,-0.001782002,-0.010645848,0.022866822,-0.001756757
201104,0.027326895,0.056258322,0.002677774,0.084170253,0.046574208,0.029511304
201105,-0.0294,-0.022061141,-0.023738872,-0.03308337,-0.029469937,-0.010913872
201106,-0.019163404,-0.030937802,-0.037386018,-0.040145985,-0.029753413,-0.017681468
201107,-0.010294118,-0.023777852,-0.023050205,-0.047290875,-0.015752993,-0.025578563
201108,-0.092549353,-0.08754897,-0.033936652,-0.097779995,-0.046521554,-0.058333333
201109,-0.179064327,-0.108082882,-0.147206424,-0.118883052,-0.177036705,-0.077581121
201110,0.16298618,0.096274592,0.107885445,0.12394101,0.160728855,0.109689799
201111,-0.019723141,-0.021764032,-0.027620397,-0.030709101,-0.016869728,-0.003602305
201112,-0.051737066,-0.033372365,-0.031318281,-0.028225806,-0.07221163,0.00318149
201201,0.109910385,0.052695336,0.056766917,0.054534677,0.101464166,0.049012541
201202,0.052719069,0.048331415,0.032372821,0.050590219,0.032649254,0.042874811
201203,-0.031242951,0.00420783,-0.023432116,-0.000802568,-0.017163505,0.027276321
201204,-0.016998486,-0.02076881,0.000705716,-0.024364123,0.013327206,-0.00564392
201205,-0.106952505,-0.11144186,-0.10719323,-0.118276619,-0.117687075,-0.061016512
201206,0.03806366,0.046063652,0.020537125,0.04886399,0.047288615,0.033246325
201207,-0.000383289,0.000800641,0.017414861,0.005934718,0.050797546,0.010105039
201208,0.00408998,0.032,0.046025105,0.044542773,0.013078001,0.02461498
201209,0.052062118,0.027131783,0.036,0.031347077,0.027893038,0.021068859
201210,-0.004234725,0.010849057,0,0.016703176,0.024893474,-0.017740312
201211,0.015431349,0.027904806,-0.013338013,0.02289254,0.01750547,0.008838222
201212,0.061385665,0.032504086,0.010316613,0.034755134,0.013763441,0.004951752
201301,-0.003043968,0.037284559,0.016549296,0.045801527,0.035002121,0.053695515
201302,-0.022842927,-0.012970498,-0.022514721,-0.034549878,0.017831523,0.010551559
201303,-0.010068279,0.013140943,0.0102764,0.000756048,0.000805477,0.034765069
201304,0.012158055,0.050186504,-0.017186952,0.045076807,0.038229376,0.019034514
201305,-0.048394548,-0.030190507,-0.01034975,0.001445783,-0.101782946,0.017441206
201306,-0.065420561,-0.046112868,-0.056978002,-0.06761309,-0.07158885,-0.005419155
201307,0.013246753,0.053228621,0.056596558,0.077935484,0.037648152,0.043811854
