Date,IWB,EWJ,EWG,EWU,EWQ,EWC,EWI,EWA,EWY,EWW,EWP,EWN,EWL,ENOR,EWD
2001-10-31,0.020396,-0.00119,0.057074,0.019286,0.048578,-0.003109,0.035762,0.138781,0.164396,0.053441,0.029946,0.00375,0.015768,,0.046575
2001-11-30,0.07556,-0.001192,0.103422,0.011212,0.023164,0.101871,0.016624,0.060365,0.268331,0.061491,0.075286,0.035492,0.017157,,0.161431
2001-12-31,0.017752,-0.079952,0.040662,0.033264,0.03534,0.00283,0.012579,0.019334,0.089176,0.104272,-0.002414,0.02285,0.007631,,0.030053
2002-01-31,-0.02263,-0.07393,-0.045695,-0.035398,-0.053867,-0.001883,-0.02795,0.014815,0.083569,0.092227,-0.056147,-0.027696,-0.049442,,-0.078045
2002-02-28,-0.015772,0.046218,-0.010409,-0.016232,0.005073,0.009434,0.001917,-0.006257,0.108911,-0.025332,0.011282,0.006061,0.026846,,0.015823
2002-03-28,0.035881,0.089692,0.075736,0.05165,0.051598,0.033645,0.060587,0.038825,0.078477,0.104579,0.033469,0.073494,0.071895,,0.033489
2002-04-30,-0.054776,0.036855,-0.029335,0.006139,-0.005333,0.007233,0.004209,0,-0.017865,-0.028011,0.024534,0.015713,0.023628,,-0.089676
2002-05-31,-0.006982,0.061611,-0.014103,-0.019661,-0.002681,0.01526,-0.008383,0.062626,0.021739,-0.070317,0.003831,-0.01326,0.045421,,0.000828
2002-06-28,-0.080331,-0.059152,-0.009537,-0.038728,-0.016129,-0.061008,-0.005435,-0.04943,-0.049501,-0.095474,-0.071088,-0.025756,-0.0349,,-0.029777
2002-07-31,-0.067689,-0.067616,-0.162999,-0.057554,-0.147541,-0.12806,-0.089253,-0.086,-0.07492,-0.095271,-0.095532,-0.167816,-0.138745,,-0.15942
2002-08-30,0.002879,-0.006361,-0.00986,-0.018321,-0.007692,0.047516,0.002,0.033917,0.039012,0.031061,0.024418,0.018646,-0.01371,,0.008114
2002-09-30,-0.102029,-0.06146,-0.239834,-0.09098,-0.149871,-0.113402,-0.125748,-0.085714,-0.167776,-0.096987,-0.152439,-0.172881,-0.078193,,-0.173038
2002-10-31,0.07724,-0.057299,0.137555,0.04876,0.113982,0.05814,0.061644,0.061343,0.075957,0.048007,0.118378,0.103279,0.027333,,0.147202
2002-11-29,0.062766,0.036179,0.06334,0.044861,0.058663,0.058242,0.104301,0.050164,0.125265,0.056677,0.105263,0.052006,0.057798,,0.186638
2002-12-31,-0.059838,-0.02933,-0.100943,-0.029451,-0.034971,-0.016743,-0.027836,-0.029498,-0.134434,-0.046849,-0.054731,-0.04967,-0.033874,,-0.135626
2003-01-31,-0.024615,-0.025899,-0.002033,-0.03786,-0.035811,0.042373,0.002055,0.039648,-0.039237,-0.04498,0.030491,-0.08327,-0.036904,,-0.00733
2003-02-28,-0.010753,0.01034,-0.072301,-0.047904,-0.048353,0.01626,0.026658,-0.01589,-0.036302,-0.032801,0.007671,-0.07597,-0.056075,,-0.003165
2003-03-31,0.003931,-0.055556,-0.046103,-0.000898,-0.041237,-0.024,-0.07257,0.032293,-0.115951,0.012174,-0.014682,-0.033065,0.00396,,-0.024339
2003-04-30,0.080044,-0.00774,0.247411,0.107914,0.172811,0.07582,0.133525,0.066736,0.1498,0.161512,0.137969,0.15342,0.110454,,0.206074
2003-05-30,0.059947,0.059282,0.058118,0.060877,0.060249,0.095238,0.117163,0.058651,0.071222,0.04142,0.053346,0.057692,0.055062,,0.054856
2003-06-30,0.012544,0.070692,0.063644,0.004591,0.019148,0.026087,-0.014739,0.024931,0.080541,0.026989,0.029006,0.000758,-0.008418,,-0.009378
2003-07-31,0.020349,0.045392,0.040984,-0.010663,0.02,-0.011864,-0.008055,-0.012613,0.085543,0.045643,0.01745,0.055261,0.026316,,0.049053
2003-08-29,0.01825,0.092105,-0.011811,0.00154,0.002377,0.056604,-0.034803,0.035584,0.07788,-0.010582,-0.008795,0.029412,0.01158,,0.025431
2003-09-30,-0.00784,0.055422,-0.007171,0.030746,0.01067,0.007305,0.040865,0.036123,-0.087217,0.030749,-0.005768,-0.023693,0.044971,,0.0336
2003-10-31,0.057207,0.054794,0.114767,0.079046,0.058651,0.06527,0.049654,0.079932,0.133021,0.035668,0.057564,0.062812,0.025039,,0.088235
2003-11-28,0.012909,-0.030303,0.065515,0.023497,0.055402,0.041604,0.080033,-0.000787,-0.021497,0.02129,0.054852,0.043653,0.056489,,0.031294
2003-12-31,0.045468,0.076073,0.107463,0.084071,0.085243,0.049497,0.035448,0.086672,0.067865,0.059935,0.114772,0.076556,0.068876,,0.092828
2004-01-30,0.020473,0.002075,0.015442,-0.005135,0.015694,0.004211,0.029919,-0.007485,0.061502,0.075527,0.021014,0.007335,0.026459,,0.041026
2004-02-27,0.013156,0.005176,-0.013382,0.047742,0.024143,0.026555,0.01034,0.052036,0.039127,0.071856,0.044358,0.023058,0.000661,,0.048645
2004-03-31,-0.014755,0.119464,-0.04069,-0.024015,-0.03819,-0.006807,-0.037037,0.008602,0.020637,0.054342,-0.041115,-0.059312,-0.021136,,-0.022901
2004-04-30,-0.018017,-0.067157,-0.00964,-0.016404,-0.023529,-0.084304,0.010627,-0.075338,-0.083008,-0.093931,-0.024451,-0.001892,0.006073,,-0.003606
2004-05-28,0.013971,-0.014793,0.009734,0.019885,0.036647,0.017216,0.011017,0.014604,-0.038685,0.028708,0.007991,0.024637,0.016767,,0.02111
2004-06-30,0.019232,0.063063,0.037918,0.015723,0.025182,0.057395,0.041605,0.016667,-0.020523,0.007235,0.020541,0.022195,0.003958,,0.038393
2004-07-30,-0.033541,-0.073446,-0.062539,-0.023529,-0.034955,-0.000696,-0.034712,-0.013413,-0.094145,-0.023089,-0.035311,-0.062123,-0.041393,,-0.062571
2004-08-31,0.00237,0.014228,-0.009247,0.011414,0.002937,-0.005571,0.002463,0.022659,0.099848,0.019958,0.014275,0.007717,0.000685,,0.025485
