QTDATE,TOTRET
20080430,-1.811
,
,
20080530,-2.815
,
,
20080630,2.323
,
,
20080731,0.039
,
,
20080829,2.255
,
,
20080930,0.572
,
,
20081031,-3.593
,
,
20081128,13.733
,
,
20081231,8.891
,
,
20090130,-10.593
,
,
20090227,-0.418
,
,
20090331,5.735
,
,
20090430,-6.134
,
,
20090529,-2.688
,
,
20090630,0.664
,
,
20090731,0.681
,
,
20090831,2.1
,
,
20090930,1.605
,
,
20091030,-1.509
,
,
20091130,1.997
,
,
20091231,-5.717
,
,
20100129,2.943
,
,
20100226,-0.296
,
,
20100331,-1.31
,
,
20100430,2.907
,
,
20100528,4.085
,
,
20100630,4.481
,
,
20100730,-0.016
,
,
20100831,7.308
,
,
20100930,-1.707
,
,
20101029,-2.645
,
,
20101130,-1.662
,
,
20101231,-3.84
,
,
20110131,-1.894
,
,
20110228,0.93
,
,
20110331,0.061
,
,
20110429,2.052
,
,
20110531,3.307
,
,
20110630,-1.591
,
,
20110729,4.322
,
,
20110831,8.261
,
,
20110930,7.229
,
,
20111031,-2.289
,
,
20111130,1.604
,
,
20111230,2.756
,
,
20120131,0.012
,
,
20120229,-2.079
,
,
20120330,-3.593
,
,
20120430,4.163
,
,
20120531,8.292
,
,
20120629,-1.687
,
,
20120731,3.525
,
,
20120831,-1.259
,
,
20120928,-2.037
,
,
20121031,-0.261
,
,
20121130,1.123
,
,
20121231,-1.769
,
,
20130131,-3.275
,
,
20130228,1.246
,
,
20130328,-0.168
,
,
20130430,3.886
,
,
20130531,-5.779
,
,
20130628,-3.445
,
,
20130731,-1.621
,
,
20130830,-1.109
,
,
20130930,0.851
,
,
20131031,1.12
,
,
20131129,-2.252
,
,
20131231,-2.054
,
,
20140131,5.775
,
,
20140228,0.671
,
,
20140331,0.441
,
,
20140430,1.772
,
,
20140530,2.515
,
,
20140630,-0.328
,
,
20140731,0.829
,
,
20140829,3.817
,
,
20140930,-1.596
,
,
20141031,2.757
,
,
20141128,2.961
,
,
20141231,2.809
,
,
20150130,7.503
,
,
20150227,-5.398
,
,
20150331,1.306
,
,
20150430,-2.551
,
,
20150529,-2.06
,
,
20150630,-2.774
,
,
20150731,3.93
,
,
20150831,-0.734
,
,
20150930,2.473
,
,
20151030,-0.716
,
,
20151130,-0.563
,
,
20151231,-0.458
,
,
20160129,4.993
,
,
20160229,2.82
,
,
20160331,0.102
,
,
20160429,-0.867
,
,
20160531,0.752
,
,
20160630,5.933
,
,
20160729,1.064
,
,
20160831,-1.456
,
,
20160930,-1.032
,
,
20161031,-3.289
,
,
20161130,-6.296
,
,
20161230,-0.262
,
,
20170131,0.195
,
,
20170228,1.205
,
,
20170331,0.042
,
,
20170428,1.351
,
,
20170531,1.453
,
,
20170630,0.407
,
,
20170731,-0.72
,
,
20170831,2.941
,
,
20170929,-2.06
,
,
20171031,-0.106
,
,
20171130,0.408
,
,
20171229,0.981
,
,
20180131,-3.05
,
,
20180228,-2.265
,
,
20180329,2.481
,
,
20180430,-2.083
,
,
20180531,1.459
,
,
20180629,0.546
,
,
20180731,-1.193
,
,
20180831,1.458
,
,
20180928,-2.51
,
,
20181031,-1.568
,
,
20181130,2.027
,
,
20181231,4.466
,
,
20190131,0.766
,
,
20190228,-1.005
,
,
20190329,4.644
,
,
20190430,-1.423
,
,
20190531,5.598
,
,
20190628,1.217
,
,
20190731,0.409
,
,
20190830,8.105
,
,
20190930,-2.057
,
,
20191031,-0.771
,
,
20191129,-0.718
,
,
20191231,-2.275
,
,
20200131,6.44
,
,
20200228,5.24
,
,
20200331,6.534
,
,
20200430,0.004
,
,
20200529,-0.616
,
,
20200630,0.201
,
,
20200731,2.943
,
,
20200831,-3.43
,
,
20200930,0.677
,
,
20201030,-2.595
,
,
20201130,1.232
,
,
20201231,-1.314
,
,
20210129,-3.13
,
,
20210226,-6.606
,
,
20210331,-4.295
,
,
20210430,2.567
,
,
20210528,-0.138
,
,
20210630,3.197
,
,
20210730,3.839
,
,
20210831,-0.283
,
,
20210930,-2.23
,
,
20211029,0.304
,
,
20211130,1.852
,
,
20211231,-0.898
,
,
20220131,-3.72
,
,
20220228,-1.278
,
,
20220331,-5.138
,
,
20220429,-9.006
,
,
20220531,-0.7
,
,
20220630,-2.644
,
,
20220729,3.681
,
,
20220831,-5.332
,
,
20220930,-7.478
,
,
20221031,-3.915
,
,
20221130,7.317
,
,
20221230,-2.085
,
,
20230131,5.625
,
,
20230228,-4.35
,
,
20230331,4.909
,
,
20230428,0.36
,
,
20230531,-2.57
,
,
20230630,-0.455
,
,
20230731,-1.528
,
,
20230831,-2.236
,
,
20230929,-5.788
,
,
20231031,-4.448
,
,
20231130,8.079
,
,
20231229,7.175
