Date,EEM,EFA,EWC,IEV,EPP,IWB,,,,,,
201305,-0.048278887,-0.030190427,-0.010349559,0.001445723,-0.113268474,0.017441223,,,,,,
201306,-0.065533967,-0.046112631,-0.056977904,-0.067613136,-0.077155654,-0.005418978,,,,,,
201307,0.02655775,0.074575264,0.068952423,0.103173144,0.056867705,0.043811568,,,,,,
201308,-0.025378081,-0.019552592,-0.008685985,-0.015321817,-0.007900497,-0.023017734,,,,,,
201309,0.072067476,0.078249156,0.033588685,0.072696344,0.070304162,0.031773632,,,,,,
201310,0.041707604,0.03260191,0.037089573,0.041024402,0.041633155,0.047976402,,,,,,
201311,-0.002590752,0.00546461,-0.009196292,0.00892691,-0.03410993,0.027271805,,,,,,
201312,-0.012986994,0.012983019,0.002406376,0.023953199,-0.028889168,0.02199115,,,,,,
201401,-0.078105875,-0.043796702,-0.028970666,-0.041406706,-0.042794677,-0.02757584,,,,,,
201402,0.033778411,0.061311046,0.044754683,0.072012391,0.065601683,0.048081711,,,,,,
201403,0.038753752,-0.004591889,0.012679735,-0.005151595,0.023705692,0.001338248,,,,,,
201404,0.007803266,0.016666658,0.033502811,0.027340732,0.02632099,0.00875603,,,,,,
201405,0.029518463,0.015954423,0.005238923,0.007661284,0.013186838,0.022707866,,,,,,
201406,0.015981173,-0.01498345,0.049185428,-0.028211164,-0.016243753,0.022946979,,,,,,
201407,0.021665894,-0.002115317,0.005883652,-0.016305006,0.042584767,-0.020615775,,,,,,
201408,0.028297741,0.001802147,0.02176623,0.0060189,0.009389714,0.045374333,,,,,,
201409,-0.077674189,-0.038824903,-0.066037917,-0.036752004,-0.109615744,-0.021028646,,,,,,
201410,0.01419612,-0.002651098,-0.025089479,-0.021961216,0.052057491,0.027977809,,,,,,
201411,-0.015421089,0.000625453,0.000668392,0.020185903,-0.044038883,0.027111259,,,,,,
201412,-0.053252884,-0.049226662,-0.036071995,-0.054468672,-0.059158019,-0.007961938,,,,,,
201501,0.007412652,0.016087391,-0.070868973,0.011361542,0.03035801,-0.02189509,,,,,,
201502,0.044080046,0.063377797,0.05975796,0.059911227,0.047670447,0.056566232,,,,,,
201503,-0.014973017,-0.014285829,-0.02997853,-0.022521642,-0.022045691,-0.017054192,,,,,,
201504,0.068527199,0.036465841,0.071376056,0.040885373,0.041420027,0.012255137,,,,,,
201505,-0.041044637,0.001954532,-0.046016515,0.002604413,-0.028025456,0.012757612,,,,,,
201506,-0.036478699,-0.047268829,-0.039956997,-0.053463364,-0.060599133,-0.01893806,,,,,,
201507,-0.056127676,0.037545731,-0.034627525,0.044255471,0.007472225,0.01456406,,,,,,
201508,-0.088361979,-0.074251077,-0.050097592,-0.07077475,-0.131905775,-0.055568218,,,,,,
201509,-0.031323658,-0.044188811,-0.052328204,-0.043728936,-0.031915115,-0.032447657,,,,,,
201510,0.063758284,0.066119919,0.034782535,0.061055224,0.061684222,0.085978499,,,,,,
201511,-0.025236578,-0.007527344,-0.022268732,-0.013970855,-0.004628597,0.004061242,,,,,,
201512,-0.052956859,-0.031821886,-0.076063759,-0.036743605,-0.013023985,-0.024871005,,,,,,
201601,-0.035526714,-0.046879371,-0.01422544,-0.048145669,-0.058613191,-0.048849145,,,,,,
201602,-0.008178027,-0.033345055,0.034433561,-0.031085513,-0.00625707,0,,,,,,
201603,0.129617462,0.065821063,0.096162602,0.063349933,0.103518538,0.064582575,,,,,,
201604,0.004087582,0.022218321,0.071277988,0.03068261,0.01827282,0.010274261,,,,,,
201605,-0.036929214,-0.000855445,-0.036220521,-0.008434589,-0.022261856,0.016656357,,,,,,
201606,0.037439819,-0.043850661,0.001225706,-0.05454106,0.003061211,0.00265935,,,,,,
201607,0.062121574,0.061146135,0.037940534,0.054830644,0.076367107,0.032252391,,,,,,
201608,0.008837427,0.005341284,0.002773555,0.004878226,-0.024551635,0.006634853,,,,,,
201609,0.025184871,0.01336783,0.015013757,0.006131794,0.036660518,-0.002731945,,,,,,
201610,-0.008277699,-0.022154749,-0.013234585,-0.031741962,-0.030465857,-0.016067301,,,,,,
201611,-0.044157332,-0.017813833,0.026035444,-0.024914639,0.000487241,0.040399691,,,,,,
201612,-0.013802847,0.016552073,0.005382529,0.043840569,-0.037402234,0.013188009,,,,,,
201701,0.078747457,0.043591448,0.049775478,0.034304956,0.083443457,0.024785261,,,,,,
201702,0.017407672,0.011906885,-0.01802804,0.006525936,0.028315057,0.038152104,,,,,,
201703,0.036851418,0.032316863,0.007118717,0.043641041,0.027970403,-0.003416651,,,,,,
201704,0.017009522,0.024241374,-0.023065512,0.035842092,0.002900568,0.014714813,,,,,,
201705,0.028457281,0.035423234,-0.003808075,0.047059027,-0.013339154,0.012819534,,,,,,
201706,0.004611782,-0.013018484,0.022935701,-0.023573418,0.005620371,0.007147917,,,,,,
201707,0.063129773,0.043152906,0.051086856,0.045831761,0.058119015,0.014341552,,,,,,
201708,0.023516137,-0.000448254,-0.001075128,-0.000878846,0.004074771,0.007883607,,,,,,
201709,-0.0004462,0.023617485,0.03839247,0.030789432,-0.008434404,0.016200728,,,,,,
201710,0.032805034,0.016793054,-0.00518318,0.005120373,0.009850328,0.02753228,,,,,,
201711,-0.003889431,0.006893562,0.005210185,-0.001485758,0.017462518,0.030186774,,,,,,
201712,0.022125879,0.002852525,0.024188119,0.00467684,0.005648506,0.008003811,,,,,,
201801,0.099391824,0.061344426,0.021003853,0.061926186,0.059700417,0.058653256,,,,,,
