,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
197507,-1.63,-2.61,-3.21,-7.85,-6,-5.42
197508,-5.24,-4.61,-5.37,-2.28,-1.86,-2.35
197509,-3.86,-3.38,-3.84,-4.72,-2.79,-3.92
197510,0.93,3.03,2.83,7.8,5.76,5.58
197511,1.29,2.53,2.53,4.36,2.6,2.22
197512,0.18,-0.88,-1.43,-2.27,-0.71,-0.87
197601,16.03,19.03,20.8,9.99,12.9,14.12
197602,9.66,8.04,8.8,-0.65,-0.66,0.97
197603,0.33,1.76,2.24,3.06,3.36,1.44
197604,-0.95,-0.62,-1.74,-2.49,-0.07,-0.51
197605,-0.77,-1.24,-3.24,-1.52,-0.25,-1.29
197606,3.46,2.88,4.27,5.12,4.65,3.46
197607,-0.22,0.99,0.16,-1.26,0.13,-1.9
197608,-2.2,-1.12,-2.33,0.52,0.4,-1.06
197609,2.61,3.02,2.63,1.85,2.92,2.27
197610,-2.04,-1.17,-2.22,-2.48,-1.36,-3.17
197611,3,3.4,4.5,-1.71,1.3,2.62
197612,10.7,9.1,9.54,4.78,5.64,7.4
197701,0.34,2.44,2.91,-7.36,-3.01,-1.94
197702,-1.56,-0.4,0.25,-1.62,-1.39,-2.7
197703,0.65,0.59,0.53,-1.88,-1.04,-0.66
197704,-0.16,1.47,2.64,-2.14,0.77,3.49
197705,-0.92,0.59,0.14,-3.02,-0.42,-0.02
197706,5.23,5.72,7.32,4.87,4.72,6.1
197707,-0.09,0.58,0.58,-1.41,-1.6,-1.43
197708,-0.5,-1.01,-0.13,0.84,-2.93,-2.92
197709,-0.01,1.26,1.58,-1.31,1.18,1.1
197710,-2.52,-1.89,-3.01,-4.32,-3.86,-3.99
197711,7.31,6.87,8.67,3.64,4.09,6.3
197712,0.47,1.82,2.39,0.04,0.88,1.29
197801,-1.83,-1.92,-3.23,-6.4,-5.45,-6.33
197802,1.47,2.18,2.94,-2.64,-0.9,-0.18
197803,5.97,5.51,7.05,3.66,2.07,5.31
197804,7.17,6.8,8.83,9.79,7.45,9.86
197805,5.57,4.31,7.4,1.45,1.33,5.28
197806,-0.92,0.52,1.08,-2.58,-1.01,0.9
197807,3.84,4.89,7.1,4.9,5.52,9.97
197808,6.53,7.06,9.53,3.76,2.96,6.41
197809,0.14,-0.18,-1.8,0.62,-1.46,-3.72
197810,-15.05,-16.56,-23.26,-8.25,-10,-16.96
197811,3.02,4.18,8.59,2.26,3.05,7.59
197812,0.74,1.97,3.08,-0.85,2,2.87
197901,9.69,7.74,9.04,6.2,3.91,4.13
197902,-2.06,-1.98,-2.69,-2.54,-2.59,-4.03
197903,8.26,8.26,10.68,5.18,5.34,8.63
197904,2.12,2.5,2.98,0.31,-0.06,1.06
197905,-1.53,-1.06,-1.59,-0.87,-1.34,-1.89
197906,5.27,5.23,6.07,3.98,4.56,4.86
197907,3.39,3.35,1.97,1.87,1.39,1.14
197908,8.83,6.54,8.27,7.11,4.97,7.27
197909,-2.28,-0.77,1.61,-3.06,-1.06,3.6
197910,-11.73,-10.06,-9.83,-7.36,-7.29,-5.26
197911,3.54,6.4,12.37,3.49,5.54,10.93
197912,4.54,4.43,9.23,0.03,1.97,4.89
