,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
1990,-44.29,-30.34,-22.36,-21.14,-13.97,-37.65,-21.18,-11.3,-12.95,-13.53,-36.75,-16.95,-11.61,-9.3,-7.82,-30.75,-16.39,-6.15,-3.78,-8.91,-14.7,-10.23,-2.3,-0.07,-2.1
1991,35.68,40.29,37.69,39.15,83.02,28.56,27.61,42.65,47.07,68.71,43.09,35.16,40.54,38.62,67.92,61.54,36.44,37.57,36.99,48.5,39.1,34.69,28.38,32.49,45.46
1992,15.25,19.54,29.42,28.36,31.63,12.57,16.02,19.07,22.78,18.26,22.52,12.51,23.77,31.16,23.51,19.36,12.36,14.9,12.39,14.09,6.74,9.9,8.86,2.14,4.1
1993,3.33,16.34,21.73,34.72,33.54,3.36,9.87,14.92,25.58,32.86,2.29,8.13,13.39,22.9,24.14,6.15,16.98,5.4,16.57,31.2,2.39,-5.48,6.89,14.18,26.81
1994,-16.53,-6.93,-2.02,1.69,3.17,-8.18,-0.59,-0.82,-0.89,-2.36,-0.23,-0.02,1.07,-2.78,3.67,5.03,1.71,-7.73,-2.29,-4,4.22,-2.1,2.42,0.27,-2.42
1995,12.04,31.06,34.91,38.32,50.17,11.73,19.93,29.73,32.01,44.68,18.85,30.22,26.65,27.48,39.79,26.9,28.68,39.7,28.02,40.51,31.85,41.09,33.46,40.35,38.16
1996,4.62,21.29,17.19,27.27,21.93,18.2,20.04,19.33,19.97,21.34,13.26,16.5,15.74,19.73,19.79,11.36,22.41,21.42,14.44,21.83,17.4,27.59,17.05,27.3,20.63
1997,-0.76,27.21,37.48,45.14,35.83,16.63,32.09,30.88,35.69,34.24,17.3,29.16,23.38,34.28,17.67,11.57,21.42,23.53,28.3,35.09,21,34.04,30.35,37.85,28.61
1998,-18.43,-9.45,-8.59,-7.42,2.1,-16.91,-7.18,-0.51,9.67,11.46,-10.64,-6.98,0.81,0.28,8.28,-9.23,2.18,3.75,12.18,16.95,14.11,24.98,17.66,29.62,49.42
1999,20.54,11.93,17.8,21.46,75.99,16.39,3.79,5.24,9.37,67.74,35.38,-2.03,-8.45,3.03,60.81,13.84,1.37,-3.72,8.74,61.37,-1.56,-1.78,4.45,12.84,40.32
2000,-41.04,-10.73,-1.85,5.84,0.76,-27.45,-1.68,15.25,11.71,7.17,-24.85,8.28,21.32,14.73,1.72,-17.96,15.6,16.8,10.78,-0.73,-7.88,1.96,0.64,-8.16,-22.5
2001,30.25,44.37,46.85,44.38,59.05,8.57,24.27,26.72,18.31,16.57,-5.77,9.01,19.19,2.45,1.42,-16.55,-3.33,10.01,7.82,-12,-17.49,-10.06,-10.37,-5.69,-11.79
2002,-41.66,-17.61,-8.14,3.65,5.45,-48.75,-20.29,-13.91,-2.38,-10.24,-40.3,-24.02,-11.21,-6.47,-12.31,-50.46,-14.26,-11.47,-6.54,-7.17,-36.52,-23.73,-19.93,-9.34,-8.61
